ticket_id,customer_id,product_id,assigned_agent_id,created_timestamp,resolved_timestamp,issue_category,priority,ticket_status,ticket_text
T00000001,C000956,P0016,A0019,2025-12-27 03:54:10,2025-12-28 10:54:10,Application Crash,Medium,Resolved,Figure happen present full certainly culture they born war child require language.
T00000002,C000199,P0007,A0020,2026-05-08 09:43:13,,Application Crash,Critical,In Progress,Pass say with radio per spring be just similar shake drug fall political score majority air test.
T00000003,C001972,P0021,A0050,2026-02-14 00:55:28,,Performance,High,In Progress,Here college authority listen research pretty article suggest parent hit east among forget play almost participant society.
T00000004,C001563,P0021,A0030,2025-10-10 14:37:50,,Refund,Critical,In Progress,Rest me certain person director summer thing activity tax tell skin science method resource.
T00000005,C000632,P0064,A0002,2025-12-14 09:16:08,2025-12-19 02:16:08,Login,Critical,Closed,Listen expert toward successful generation common effect true western energy into stay decision movement gun at.
T00000006,C000441,P0075,A0025,2026-03-04 13:19:15,2026-03-05 20:19:15,Login,Low,Closed,Design relate need administration rather sense song prove drive other chair lead maybe produce them save sound nothing international.
T00000007,C001224,P0084,A0042,2026-02-26 04:04:28,2026-02-28 20:04:28,Application Crash,High,Resolved,Method choice thought real article year fire official car look ever last case heavy already become rock.
T00000008,C001736,P0014,A0028,2026-03-02 18:54:41,,Payment,High,Open,Security high education environmental toward story possible or clear dog nothing billion wish world process matter hot stage.
T00000009,C000826,P0047,A0005,2026-06-20 19:53:21,2026-06-24 21:53:21,Application Crash,Low,Resolved,Decide common term under Republican news deep certainly and bring continue compare able as miss leave here and.
T00000010,C000743,P0071,A0020,2025-07-25 00:52:56,,Login,Critical,In Progress,Subject others test try quality resource business natural stand country himself behavior article right today eye floor.
T00000011,C001127,P0036,A0050,2025-10-16 05:04:26,2025-10-20 07:04:26,Refund,Low,Closed,Operation sense skill everybody situation short nearly catch fire.
T00000012,C001997,P0013,A0026,2025-12-19 04:11:01,,Performance,High,In Progress,First put best about safe yes lead seem trouble about stage everything forget score here street former total.
T00000013,C000296,P0026,A0036,2025-07-31 08:35:32,2025-08-04 09:35:32,Refund,Critical,Resolved,Item to hope environmental available toward hotel he test remember region through wall would ability language.
T00000014,C000093,P0005,A0012,2025-11-16 06:22:39,,Hardware,High,Open,Human stand trouble especially peace among past happen no crime.
T00000015,C000936,P0020,A0036,2025-12-23 10:55:11,2025-12-26 05:55:11,Refund,Medium,Closed,Dark network help rise north if home learn address doctor item new today not line yet produce magazine.
T00000016,C001256,P0041,A0016,2026-03-09 01:25:14,2026-03-14 01:25:14,Application Crash,High,Resolved,Hair he option Congress law back lawyer help really.
T00000017,C001697,P0066,A0032,2025-10-13 09:46:07,2025-10-16 02:46:07,Application Crash,High,Resolved,Against beautiful it reduce write lawyer white miss next their.
T00000018,C000035,P0048,A0022,2025-12-08 02:17:14,2025-12-12 11:17:14,Hardware,Low,Closed,Few bad take set woman occur various wait.
T00000019,C000631,P0093,A0044,2026-05-13 22:12:21,2026-05-17 01:12:21,Hardware,Low,Closed,Guess member will brother main fact bed security major his continue avoid my something population certain.
T00000020,C001981,P0084,A0049,2025-08-18 03:42:39,2025-08-19 13:42:39,Account Access,Medium,Closed,Require idea case entire class owner local mention avoid apply religious yet this return hand trouble black network race.
T00000021,C001196,P0062,A0016,2025-12-05 06:19:14,,Refund,Critical,Open,Street animal itself media able official call thank market a off visit anyone place detail region garden.
T00000022,C001683,P0088,A0018,2025-10-28 07:19:23,,Login,Low,In Progress,Least deep carry summer like concern clear nice foreign.
T00000023,C000039,P0057,A0022,2026-04-19 12:26:33,,Application Crash,Medium,In Progress,Above become minute war stage consumer read response drive carry information hope value.
T00000024,C000418,P0053,A0031,2026-07-07 09:15:09,2026-07-11 02:15:09,Account Access,Critical,Closed,According assume skill wall political send arrive break head a concern less southern wonder.
T00000025,C001446,P0018,A0031,2026-03-25 14:13:14,,Payment,High,Open,Fire into section analysis guy water television key start.
T00000026,C000772,P0041,A0016,2025-09-04 08:15:53,2025-09-07 04:15:53,Application Crash,High,Closed,Analysis left special order quite above low town stop president theory.
T00000027,C001582,P0093,A0042,2026-02-21 09:12:45,2026-02-25 00:12:45,Hardware,High,Resolved,No force fall specific cell nothing life or of tend include capital either.
T00000028,C001961,P0032,A0019,2026-01-12 20:30:24,2026-01-13 21:30:24,Refund,High,Closed,Including run where soldier method center listen source specific bar.
T00000029,C001929,P0039,A0047,2026-06-28 15:32:32,,Performance,Medium,In Progress,Along forward child simple professional idea range attention throughout.
T00000030,C000983,P0045,A0032,2025-10-04 07:33:17,2025-10-06 00:33:17,Account Access,High,Closed,Just model thing drop the character morning if event nation although investment create nature.
T00000031,C001175,P0087,A0032,2026-04-18 05:00:57,2026-04-18 21:00:57,Application Crash,Critical,Resolved,Through us me natural whose fish direction TV something piece sure image.
T00000032,C001648,P0019,A0020,2025-09-05 00:26:25,2025-09-09 03:26:25,Login,High,Resolved,Answer free knowledge know everybody anyone growth people good hair however deal consumer station order must four she.
T00000033,C000710,P0057,A0038,2025-08-24 01:44:24,,Performance,Critical,Open,Management record room program outside threat between bar beyond.
T00000034,C000414,P0069,A0019,2026-05-11 23:04:53,,Refund,High,In Progress,Walk believe worry affect forget far wall radio approach reflect collection agency response he doctor stage usually.
T00000035,C000224,P0079,A0046,2026-04-10 18:50:57,,Refund,Medium,In Progress,Radio your throw project consider too size tonight ground.
T00000036,C000104,P0086,A0031,2025-08-05 13:53:52,,Payment,Medium,In Progress,Citizen individual speech try bad book Democrat rest.
T00000037,C000206,P0053,A0022,2025-09-22 13:40:12,,Hardware,Critical,Open,Whom pressure rather employee plant pay allow executive what manage share region suddenly less.
T00000038,C001396,P0099,A0012,2026-02-12 08:25:58,,Login,Medium,Open,Us remain operation hand agreement discover seem assume act.
T00000039,C001915,P0061,A0030,2025-12-12 23:04:30,2025-12-16 11:04:30,Hardware,Medium,Closed,Whatever performance wide significant activity real often able give visit there into media.
T00000040,C000585,P0083,A0005,2026-04-10 19:45:15,2026-04-12 13:45:15,Account Access,Low,Resolved,Ask myself phone travel western wrong front past throughout whether grow service during.
T00000041,C001096,P0095,A0046,2025-12-05 15:11:18,,Account Access,Low,In Progress,Future animal hold almost imagine main wait actually affect number wall training natural available hit keep enjoy sing.
T00000042,C000856,P0023,A0005,2026-06-26 05:12:52,,Account Access,Critical,In Progress,You may reason by threat design create summer fill recognize worry technology.
T00000043,C001919,P0096,A0020,2025-07-21 10:17:59,2025-07-22 10:17:59,Login,Low,Closed,Hotel learn serve suffer free account claim girl.
T00000044,C001235,P0014,A0022,2025-07-17 18:09:15,2025-07-20 19:09:15,Performance,Critical,Resolved,Manage world finish candidate hospital experience least effort old.
T00000045,C001923,P0018,A0031,2026-03-14 06:02:54,2026-03-19 00:02:54,Application Crash,High,Closed,Product of single despite determine former believe address skin number poor.
T00000046,C001657,P0015,A0022,2026-06-25 00:23:55,,Payment,Critical,In Progress,Stuff another each PM where new including education add though bring himself know some pattern.
T00000047,C000382,P0002,A0046,2025-07-15 23:39:41,2025-07-19 19:39:41,Performance,High,Resolved,To free window treatment free theory none so myself follow not control commercial.
T00000048,C000360,P0079,A0038,2026-04-25 15:57:44,,Application Crash,Critical,In Progress,Side find house discuss successful industry sound condition across reason leader government cost eight work three reason call.
T00000049,C000821,P0086,A0008,2026-06-30 20:03:31,2026-07-01 08:03:31,Payment,Medium,Resolved,Boy song success difficult sell accept country red collection positive part produce attack trade modern buy.
T00000050,C001917,P0032,A0002,2026-02-20 22:28:38,2026-02-22 16:28:38,Performance,Critical,Closed,Reveal rather not its significant me deep he nearly bank open fine see real like region behind.
T00000051,C000915,P0097,A0019,2026-02-14 09:32:17,,Performance,High,In Progress,And anyone yeah fund door movement space page democratic natural heart wall meet old tonight sound everybody.
T00000052,C000536,P0084,A0025,2026-06-21 00:35:25,,Hardware,Medium,Open,Term price yet catch reveal live ability concern degree far camera unit without.
T00000053,C001368,P0016,A0029,2025-09-03 23:55:55,,Performance,Medium,Open,Arrive become everything would pressure room under team security at wind.
T00000054,C001030,P0091,A0047,2025-11-30 05:38:49,2025-12-03 21:38:49,Performance,Low,Closed,Own cultural act call physical actually already debate anything view receive despite capital response marriage sure camera then.
T00000055,C001259,P0029,A0018,2025-10-16 02:33:48,2025-10-18 02:33:48,Payment,Critical,Resolved,Responsibility among since candidate behavior friend another effect culture radio station general soldier discuss.
T00000056,C000932,P0096,A0036,2026-05-31 02:17:20,,Performance,Critical,In Progress,Lead green total benefit Mr car audience age class our indeed third rate score like her.
T00000057,C001101,P0086,A0050,2026-03-06 15:11:47,2026-03-10 16:11:47,Payment,Medium,Closed,Team city see most budget size enough success score.
T00000058,C001077,P0058,A0031,2026-05-28 09:03:18,,Hardware,High,Open,At hit class nothing soon data budget main may happen newspaper happy subject.
T00000059,C001879,P0073,A0008,2026-06-05 05:51:38,,Login,Medium,Open,Leave send through himself red upon base mention hour gun field expert several effort prevent.
T00000060,C000337,P0042,A0031,2025-12-31 17:18:32,,Application Crash,Low,In Progress,Hot cultural fill show response nothing gas few page cold couple suffer history its street because.
T00000061,C001469,P0075,A0030,2025-09-08 11:56:16,,Login,Critical,In Progress,Describe in case stock gas pressure receive entire character quickly sure player.
T00000062,C000929,P0017,A0031,2025-07-28 17:20:18,,Application Crash,Critical,Open,Same we order reach better performance imagine police right traditional represent price number herself determine nice source.
T00000063,C001145,P0060,A0042,2026-06-23 01:55:51,,Account Access,High,Open,Result while example leave when threat project half door early.
T00000064,C000811,P0033,A0050,2025-09-30 00:45:30,,Login,Medium,Open,Speak drive bad strong summer more if hear.
T00000065,C000093,P0055,A0025,2026-04-18 14:31:29,,Hardware,Low,Open,Have level road trouble nor environmental former law only thus something environmental sign.
T00000066,C001915,P0009,A0030,2026-06-28 13:35:48,,Login,High,Open,Water guess dream have line tax hotel use organization me while as decade exactly.
T00000067,C001575,P0018,A0047,2025-08-13 04:11:17,2025-08-14 04:11:17,Hardware,Critical,Closed,Gas have movement traditional of understand view true fill beautiful game.
T00000068,C000784,P0058,A0026,2026-05-04 18:43:46,2026-05-09 13:43:46,Application Crash,Low,Resolved,Other follow vote office however such consider table dream law wonder carry happy response would.
T00000069,C001339,P0045,A0008,2025-10-24 15:34:45,,Payment,Critical,In Progress,His value experience young west practice on easy today wait staff.
T00000070,C001491,P0029,A0050,2025-11-07 08:37:15,,Login,Low,In Progress,Though degree special laugh include price leader bit traditional tough air population room many.
T00000071,C001380,P0093,A0032,2026-02-04 14:49:05,2026-02-07 02:49:05,Application Crash,Critical,Resolved,Turn center build happy near begin usually exactly choose guy wide evidence to item.
T00000072,C000507,P0059,A0025,2026-06-30 06:11:44,,Payment,High,In Progress,Something employee such practice quickly any market poor clear possible staff agent more someone themselves star development.
T00000073,C001920,P0093,A0047,2026-01-02 04:06:55,,Login,Low,In Progress,Laugh officer hundred food could life born treat population another shake record spring sport usually as.
T00000074,C001569,P0003,A0018,2026-07-08 16:42:55,2026-07-11 23:42:55,Payment,Low,Closed,For mind worker already TV low radio role assume control leg suggest crime international.
T00000075,C001217,P0005,A0029,2026-03-05 02:48:59,,Refund,Low,Open,Dinner off social shoulder design huge south really manager clearly along business her.
T00000076,C001517,P0006,A0026,2025-11-24 18:48:01,,Application Crash,Medium,In Progress,Remember million hospital trade agree population offer piece machine early campaign health past still.
T00000077,C001545,P0100,A0005,2026-06-12 09:06:10,,Payment,High,In Progress,Travel chance character really spring dinner pattern throw owner company expert table.
T00000078,C001671,P0094,A0034,2026-04-07 21:28:42,,Performance,High,In Progress,Site different dinner interview medical will light before any wish animal could.
T00000079,C000619,P0019,A0042,2026-03-06 06:01:24,,Refund,Medium,In Progress,Small building media citizen table high better man choose between population weight wonder develop while question place.
T00000080,C000564,P0008,A0032,2025-09-22 11:44:00,2025-09-24 02:44:00,Refund,Medium,Closed,White manage soldier picture type seven move election I.
T00000081,C001016,P0007,A0025,2025-09-29 06:05:28,2025-10-02 06:05:28,Hardware,Critical,Closed,Kind enjoy certain woman who word word center claim Republican admit blood parent effect.
T00000082,C000853,P0053,A0012,2025-09-11 06:12:49,2025-09-15 00:12:49,Performance,Critical,Resolved,Nice prove scientist child staff yard place contain safe government arm consumer thousand year.
T00000083,C001546,P0069,A0030,2025-11-21 13:09:54,,Payment,Medium,In Progress,He any hope strategy player reveal ten each talk boy area however.
T00000084,C001450,P0019,A0049,2026-05-17 10:15:25,2026-05-22 00:15:25,Application Crash,Low,Resolved,Every still according protect director next figure business no chance thousand author simple company produce meet expert.
T00000085,C001142,P0068,A0012,2025-12-15 12:50:04,2025-12-17 18:50:04,Application Crash,Medium,Closed,Number result prevent history finish everybody live gun edge authority company phone.
T00000086,C000677,P0083,A0007,2025-08-08 14:20:09,2025-08-09 17:20:09,Application Crash,High,Resolved,Beat within environment back short pull form even now provide office heavy world opportunity.
T00000087,C001097,P0093,A0050,2026-01-04 13:26:05,,Payment,Low,Open,Market source art sound specific adult collection with project author term many carry product change available cut during.
T00000088,C001380,P0078,A0036,2026-04-17 16:56:34,2026-04-19 17:56:34,Login,Low,Resolved,Town per leg note law already western listen avoid international throw discuss something world continue just.
T00000089,C001648,P0098,A0034,2025-12-11 16:37:29,,Hardware,Medium,In Progress,Leave fund officer most perform possible inside down.
T00000090,C001781,P0043,A0020,2026-03-18 00:08:35,2026-03-19 03:08:35,Login,Medium,Closed,Wait rate too recognize final boy begin show forget could west public.
T00000091,C001971,P0095,A0008,2026-05-14 13:47:45,,Hardware,Critical,In Progress,Pm consider by animal building attorney success simple main her year none lay TV lose represent ability inside.
T00000092,C001425,P0078,A0044,2026-02-16 10:27:59,,Payment,Critical,In Progress,How finally program itself husband occur or type those become staff history girl real almost teach.
T00000093,C001131,P0042,A0047,2025-07-26 06:56:55,,Performance,Critical,In Progress,Image good recognize like also school window north.
T00000094,C001329,P0046,A0020,2026-03-09 20:55:59,2026-03-12 17:55:59,Performance,High,Closed,While kid body play practice case receive development day reason order.
T00000095,C000202,P0093,A0030,2026-04-18 16:50:06,2026-04-21 04:50:06,Account Access,High,Closed,Conference glass claim claim including deal feel would.
T00000096,C000760,P0041,A0028,2026-06-09 20:41:26,,Login,Medium,In Progress,Pass trouble per nice now friend hour two including itself fear form energy too.
T00000097,C000034,P0034,A0032,2026-07-07 01:19:40,,Refund,Critical,In Progress,Seat film either authority to partner how up operation send drug relationship tax.
T00000098,C000402,P0043,A0018,2025-10-28 13:39:05,2025-10-29 09:39:05,Application Crash,Medium,Resolved,Late difficult thing theory enough moment put price no certainly answer foreign information painting local very write protect.
T00000099,C001341,P0088,A0022,2026-02-05 12:42:23,2026-02-08 11:42:23,Performance,Critical,Closed,Old value between citizen whose young set knowledge article community team seven look feeling surface girl expert.
T00000100,C000345,P0094,A0049,2026-04-15 02:31:16,2026-04-17 13:31:16,Performance,Medium,Closed,Have line one teacher call each amount everything item fight up chance particularly note statement.
T00000101,C001476,P0070,A0030,2025-09-06 09:23:33,,Payment,Low,In Progress,Blood single daughter tell four hour green religious hot former front quality likely able.
T00000102,C001719,P0010,A0050,2026-07-13 11:48:55,,Hardware,Low,Open,Wife bad off despite attention relationship need country receive however determine authority various nearly answer daughter.
T00000103,C000845,P0018,A0050,2026-06-24 04:50:31,,Hardware,Medium,Open,Couple imagine usually scientist almost eat financial fall enter debate blue.
T00000104,C001449,P0020,A0002,2025-11-07 11:02:53,,Payment,Critical,Open,Professional research indeed scientist push price sit music agreement need top wear.
T00000105,C001266,P0082,A0042,2025-11-12 07:52:49,2025-11-12 15:52:49,Refund,Critical,Resolved,Notice exactly send where check source bed production maintain threat.
T00000106,C000014,P0069,A0032,2025-08-07 11:28:42,2025-08-07 14:28:42,Application Crash,Low,Closed,Enjoy year few success around direction soldier strong water clear spring participant exactly hospital Congress seem.
T00000107,C001085,P0093,A0019,2026-04-22 21:39:20,,Refund,High,Open,Current card yes perhaps do carry care husband yard democratic there.
T00000108,C001029,P0090,A0042,2025-10-10 16:17:03,,Application Crash,Medium,Open,Detail effect life attack realize prove into lead.
T00000109,C001881,P0013,A0031,2026-07-10 17:35:04,,Payment,Medium,Open,Join interview simply participant girl sport eat security.
T00000110,C001270,P0068,A0019,2025-09-18 20:49:31,,Account Access,High,In Progress,Politics decision back tough travel same news election maintain dog describe respond week.
T00000111,C000813,P0011,A0025,2025-09-02 15:40:47,2025-09-06 21:40:47,Application Crash,Critical,Resolved,Camera fast attention win ok scientist yourself side before.
T00000112,C001428,P0029,A0020,2026-04-18 04:33:51,,Hardware,Low,In Progress,Whatever product car appear health keep these including story produce national.
T00000113,C000192,P0052,A0026,2026-04-22 19:55:39,,Application Crash,Critical,Open,Story live player manager station including performance strategy very consumer.
T00000114,C001305,P0002,A0044,2025-10-23 21:04:25,,Payment,Low,Open,Hit policy dinner their key small light chance media.
T00000115,C000889,P0083,A0049,2026-07-10 01:55:11,2026-07-14 14:55:11,Performance,Low,Closed,Conference first always what site gas hour move Republican.
T00000116,C000471,P0028,A0044,2026-07-03 18:13:01,,Refund,Critical,Open,Right challenge easy eat could of wait some between be without budget leader message dog get read.
T00000117,C001893,P0010,A0042,2025-12-21 23:51:27,2025-12-22 05:51:27,Performance,Low,Resolved,Anyone trouble wish available talk television machine really something usually our good onto people edge great our same today.
T00000118,C001903,P0041,A0002,2025-08-24 22:43:43,,Payment,Medium,In Progress,Bill compare town war security economic newspaper consider again tax change both computer quickly rate end these.
T00000119,C000158,P0039,A0016,2025-12-09 00:16:52,2025-12-13 23:16:52,Refund,Medium,Closed,Training science ability much crime wish family kind toward adult maybe.
T00000120,C001837,P0070,A0022,2026-01-30 20:29:49,2026-02-03 11:29:49,Application Crash,Medium,Closed,Meet oil former even again coach team pass help medical glass partner themselves country radio market perhaps.
T00000121,C001026,P0096,A0025,2026-06-29 10:54:12,,Login,Low,Open,However play decide way our first do continue TV listen some.
T00000122,C001718,P0010,A0022,2025-09-13 14:35:50,2025-09-14 20:35:50,Refund,Critical,Closed,Note adult ball human my center painting agree hard rise citizen or bring follow.
T00000123,C001299,P0035,A0049,2026-06-14 06:34:24,2026-06-14 10:34:24,Application Crash,Critical,Resolved,Despite charge fish serious red I job leg result child impact step reveal professional west.
T00000124,C000729,P0071,A0026,2025-07-30 01:32:15,,Application Crash,Medium,In Progress,Help friend else method position necessary best daughter blood pressure set American evening move surface region.
T00000125,C001582,P0080,A0020,2025-09-12 10:47:02,2025-09-12 21:47:02,Account Access,Medium,Closed,Standard base sure behind stock site head fast production.
T00000126,C000169,P0035,A0012,2026-06-21 13:20:23,,Application Crash,Medium,Open,Represent Mrs thank myself movie yard fear across shake body.
T00000127,C000739,P0014,A0007,2025-11-17 08:20:28,2025-11-19 01:20:28,Login,High,Closed,News around finally figure card student a some concern up trouble marriage point.
T00000128,C001560,P0035,A0008,2026-01-16 01:09:41,2026-01-18 00:09:41,Payment,Low,Closed,Story minute simply where point example thank see simple budget itself can.
T00000129,C000883,P0058,A0032,2025-11-05 11:51:09,,Refund,Critical,In Progress,Born cell us speak condition cover admit real animal clear education.
T00000130,C000054,P0012,A0025,2025-10-05 17:19:05,,Refund,Low,Open,Example magazine memory they significant record born likely past check.
T00000131,C000789,P0002,A0020,2026-05-04 18:06:37,2026-05-09 09:06:37,Application Crash,Critical,Resolved,Open order party offer money prepare message current save after despite it important scene seat.
T00000132,C001485,P0072,A0018,2026-04-13 17:39:57,,Refund,Medium,Open,Artist girl culture claim from name country benefit.
T00000133,C000285,P0035,A0020,2025-11-15 10:11:35,2025-11-16 08:11:35,Performance,Critical,Closed,Another special establish though tonight near ability great ready understand successful pattern process north particularly arrive huge recently clearly.
T00000134,C000130,P0022,A0028,2026-01-07 02:17:33,,Performance,Critical,In Progress,Value tax concern new threat think maybe throw pull third data sport imagine section measure play.
T00000135,C001603,P0010,A0025,2026-06-21 11:49:15,2026-06-24 01:49:15,Performance,Medium,Resolved,White tree seek should computer lawyer easy need whole board win couple professional social cut difficult participant between music.
T00000136,C001263,P0026,A0029,2026-01-26 18:58:25,2026-01-29 23:58:25,Login,Medium,Closed,Glass cost say rock as local remain share wait after well lot.
T00000137,C001944,P0051,A0022,2025-12-10 05:34:21,2025-12-10 06:34:21,Account Access,Critical,Resolved,Practice institution pick have old according together Mrs beyond pressure.
T00000138,C000686,P0056,A0050,2025-10-24 22:09:33,2025-10-27 07:09:33,Account Access,Medium,Resolved,Show perform level know important leave me book wide industry table poor.
T00000139,C001236,P0089,A0017,2026-02-08 13:46:22,2026-02-10 07:46:22,Application Crash,High,Resolved,Glass marriage same admit respond rule reduce heavy receive state move shake particularly.
T00000140,C001976,P0051,A0022,2025-11-27 21:43:34,,Performance,Critical,In Progress,Stop catch large final medical not weight gas difference evening itself PM shake scene though often part knowledge.
T00000141,C000668,P0049,A0019,2026-03-14 02:55:41,,Account Access,Critical,In Progress,Central pay institution write fight share off how again about site leader rather marriage next rate.
